,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
56,124.43,127.2,122.8,126.03,27293100.0,2009-12-31,2010-01-28,0.04,0.04,0,0,2010-01-28
57,93.66,94.1,91.7,93.45,16518500.0,2009-09-30,2009-10-22,0.02,0.02,0,0,2009-10-22
58,89.84,94.4,89.59,93.87,19162100.0,2009-06-30,2009-07-23,0.02,0.02,0,0,2009-07-23
59,81.33,82.06,79.08,80.61,16187700.0,2009-03-31,2009-04-23,0.02,0.02,0,0,2009-04-23
60,49.96,51.85,49.14,50.0,17966800.0,2008-12-31,2009-01-29,0.03,0.02,0.01,50,2009-01-29
61,50.05,52.47,47.9,49.99,19513200.0,2008-09-30,2008-10-22,0.01,0.01,0,0,2008-10-22
62,67.78,72.07,67.4646,70.54,17916200.0,2008-06-30,2008-07-23,0.02,0.01,0.01,100,2008-07-23
63,80.25,82.64,78.74,81.0,19250400.0,2008-03-31,2008-04-23,0.02,0.02,0,0,2008-04-23
64,73.54,77.42,73.25,74.21,25298700.0,2007-12-31,2008-01-30,0.02,0.02,0,0,2008-01-30
65,95.28,101.09,94.21,100.82,41761800.0,2007-09-30,2007-10-23,0.01,0.01,0,0,2007-10-23
66,71.04,72.16,68.85,69.25,25342300.0,2007-06-30,2007-07-24,0.01,0.01,0,0,2007-07-24
67,44.75,45.0,44.43,44.75,19887600.0,2007-03-31,2007-04-24,0.01,0.01,0,0,2007-04-24
68,37.95,39.3,37.85,38.7,26123100.0,2006-12-31,2007-02-01,0.01,0.01,0,0,2007-02-01
69,32.87,38.0,32.86,33.63,23155300.0,2006-09-30,2006-10-24,0.05,0.03,0.02,66.6667,2006-10-24
70,34.0,34.16,33.39,33.59,17230000.0,2006-06-30,2006-07-25,0.05,0.06,-0.01,-16.6667,2006-07-25
71,35.51,35.77,35.01,35.55,12790500.0,2006-03-31,2006-04-25,0.01,0.01,0,0,2006-04-25
72,43.92,44.04,39.8,42.74,23709300.0,2005-12-31,2006-02-02,0.02,0.01,0.01,100,2006-02-02
73,46.88,47.0,46.04,46.17,11438700.0,2005-09-30,2005-10-25,0.07,0.1,-0.03,-30,2005-10-25
74,38.22,38.75,37.72,37.74,14782300.0,2005-06-30,2005-07-26,0.01,0.01,0,0,2005-07-26
75,33.32,33.98,32.58,32.71,13969300.0,2005-03-31,2005-04-26,0.01,0.01,0,0,2005-04-26
76,43.05,43.59,40.86,41.88,26323600.0,2004-12-31,2005-02-02,0.02,0.02,0,0,2005-02-02
77,39.48,40.19,38.5,39.47,19217100.0,2004-09-30,2004-10-21,0.01,0.01,0,0,2004-10-21
78,43.7,46.07,43.64,45.82,16391000.0,2004-06-30,2004-07-22,0.01,0.01,0,0,2004-07-22
79,45.95,49.1,45.89,48.86,15798200.0,2004-03-31,2004-04-22,0.01,0.01,0,0,2004-04-22
80,56.75,57.74,55.66,55.74,12964100.0,2003-12-31,2004-01-27,0.01,0.01,0,0,2004-01-27
81,59.73,61.15,59.01,59.35,17114900.0,2003-09-30,2003-10-21,0.01,0.1,-0.09,-90,2003-10-21
82,35.7,36.0,34.0,34.87,15896800.0,2003-06-30,2003-07-22,0.01,0.06,-0.05,-83.3333,2003-07-22
83,25.4,25.629,24.77,25.12,17603300.0,2003-03-31,2003-04-24,0.01,0.04,-0.03,-75,2003-04-24
84,21.54,22.04,21.15,21.79,10998000.0,2002-12-31,2003-01-23,0.01,0.01,0,0,2003-01-23
85,19.95,20.26,19.8,19.86,12929900.0,2002-09-30,2002-10-24,-0.0924,-0.04,-0.0524,-131,2002-10-24
86,15.54,15.88,14.4,14.55,11291400.0,2002-06-30,2002-07-23,-0.01,-0.06,0.05,83.3333,2002-07-23
87,14.35,14.75,13.88,14.06,8076900.0,2002-03-31,2002-04-23,-0.01,-0.09,0.08,88.8889,2002-04-23
88,12.74,12.8,12.15,12.6,56645900.0,2001-12-31,2002-01-22,0.09,-0.07,0.16,228.5714,2002-01-22
89,9.25,9.6,8.85,9.55,12226400.0,2001-09-30,2001-10-23,-0.01,-0.01,0,0,2001-10-23
90,17.02,17.13,15.96,16.03,8663900.0,2001-06-30,2001-07-23,-0.01,-0.01,0,0,2001-07-23
91,16.44,16.8,15.48,15.68,7082600.0,2001-03-31,2001-04-24,-0.01,-0.01,0,0,2001-04-24
92,20.56,20.69,18.67,18.94,12273300.0,2000-12-31,2001-01-30,-0.01,-0.01,0,0,2001-01-30
93,29.88,33.88,28.81,29.56,13676600.0,2000-09-30,2000-10-24,-0.01,-0.01,0,0,2000-10-24
94,35.06,36.72,34.06,36.06,15547800.0,2000-06-30,2000-07-26,-0.02,-0.02,0,0,2000-07-26
95,53.31,57.44,52.45,53.5,12006400.0,2000-03-31,2000-04-26,-0.02,-0.02,0,0,2000-04-26
96,67.94,72.25,67.75,69.44,14025900.0,1999-12-31,2000-02-02,-0.03,-0.02,-0.01,-50,2000-02-02
