,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
49,51.44,52.48,51.12,51.92,25595500.0,2011-07-31,2011-08-16,1.09,1.08,0.01,0.9259,2011-08-16
50,55.56,56.29,55.24,55.54,14590500.0,2011-04-30,2011-05-17,0.98,0.95,0.03,3.1579,2011-05-17
51,53.81,54.01,52.95,53.67,28696600.0,2011-01-31,2011-02-22,1.34,1.31,0.03,2.2901,2011-02-22
52,54.57,55.35,54.24,54.26,23555200.0,2010-10-31,2010-11-16,0.9,0.9,0,0,2010-11-16
53,50.79,51.62,50.66,51.02,16315500.0,2010-07-31,2010-08-17,0.97,0.96,0.01,1.0417,2010-08-17
54,53.32,54.45,53.2,53.705,32227700.0,2010-04-30,2010-05-18,0.88,0.85,0.03,3.5294,2010-05-18
55,53.2,53.5,52.91,53.47,29457500.0,2010-01-31,2010-02-18,1.17,1.12,0.05,4.4643,2010-02-18
56,53.365,53.74,53.11,53.24,28265100.0,2009-10-31,2009-11-12,0.84,0.81,0.03,3.7037,2009-11-12
57,51.83,52.0,50.55,51.88,32144000.0,2009-07-31,2009-08-13,0.88,0.85,0.03,3.5294,2009-08-13
58,50.1,50.37,48.75,49.1,26330500.0,2009-04-30,2009-05-14,0.77,0.77,0,0,2009-05-14
59,47.44,48.88,47.3,48.24,38919100.0,2009-01-31,2009-02-17,1.03,0.99,0.04,4.0404,2009-02-17
60,52.97,54.95,51.06,54.93,37741900.0,2008-10-31,2008-11-13,0.77,0.76,0.01,1.3158,2008-11-13
61,57.52,58.9,56.89,58.1,26814500.0,2008-07-31,2008-08-14,0.86,0.84,0.02,2.381,2008-08-14
62,57.35,57.5,56.37,56.65,29000600.0,2008-04-30,2008-05-13,0.76,0.75,0.01,1.3333,2008-05-13
63,50.14,50.32,49.3,49.66,22027200.0,2008-01-31,2008-02-19,1.04,1.02,0.02,1.9608,2008-02-19
64,45.0,46.35,45.0,45.97,40735900.0,2007-10-31,2007-11-13,0.69,0.67,0.02,2.9851,2007-11-13
65,44.06,44.19,43.52,43.82,63327000.0,2007-07-31,2007-08-14,0.72,0.76,-0.04,-5.2632,2007-08-14
66,48.0,48.1,47.41,47.62,19379800.0,2007-04-30,2007-05-15,0.68,0.68,0,0,2007-05-15
67,49.86,50.29,49.41,50.26,36502900.0,2007-01-31,2007-02-20,0.92,0.9,0.02,2.2222,2007-02-20
68,47.89,48.2,47.19,47.66,28621800.0,2006-10-31,2006-11-14,0.62,0.59,0.03,5.0847,2006-11-14
69,44.8,44.89,44.05,44.38,18589400.0,2006-07-31,2006-08-15,0.72,0.72,0,0,2006-08-15
